collaborative,duration_ms,modified_at,name,num_albums,num_artists,num_edits,num_followers,num_tracks,pid
False,11532414,1493424000,Throwbacks,47,37,6,1,52,0
False,11656470,1506556800,Awesome Playlist,23,21,5,1,39,1
False,14039958,1505692800,korean ,51,31,18,1,64,2
False,28926058,1501027200,mat,107,86,4,1,126,3
False,4335282,1401667200,90s,16,16,7,2,17,4
False,19156557,1430956800,Wedding,71,56,3,1,80,5
False,3408479,1477094400,I Put A Spell On You,15,13,2,1,16,6
False,12674796,1509321600,2017,52,48,38,1,53,7
False,9948921,1508976000,BOP,37,23,21,2,46,8
False,4297488,1501804800,old country ,20,18,10,1,21,9
False,16403398,1509321600,abby ,60,40,36,2,72,10
False,35655891,1365379200,VIBE,117,99,16,1,134,11
False,1981349,1481587200,relax,9,9,3,1,9,12
False,3039124,1509062400,sleep,13,12,5,1,13,13
False,25837498,1382572800,90's ,79,61,3,1,103,14
False,1818256,1432684800,New Songs,5,3,3,1,7,15
False,24695913,1491696000,slow hands,94,81,45,1,105,16
False,17627215,1465430400,Mom's playlist,69,61,11,1,79,17
False,15917464,1507334400,SARAH,66,55,18,1,68,18
False,21627256,1430956800,melancholy,82,70,54,1,85,19
False,2165531,1509494400,mixtape,9,6,11,3,14,20
False,3709224,1479081600,Sad Songs,15,15,8,1,15,21
False,9077152,1509408000,fall '17,39,37,15,2,42,22
False,5843925,1506470400,✔️,16,7,4,1,20,23
False,1693822,1475971200,Twenty one pilots,5,3,4,1,7,24
False,9067261,1488412800,run it,38,31,8,2,41,25
False,6442086,1425427200,Winter 2014,20,15,7,1,26,26
False,2902584,1508803200,smooth ,11,8,5,1,12,27
False,18831207,1509062400,Yeet,57,37,26,7,81,28
False,8059613,1506384000,groovy,39,39,16,1,40,29
False,34463029,1430265600,Garage Rock,17,9,6,1,157,30
False,20594090,1495324800,Running 2.0,94,83,34,1,97,31
False,24656509,1502928000,acoustic,85,72,9,1,106,32
False,4295055,1431302400,morning,14,11,7,1,17,33
False,18149784,1481328000,good good,72,65,39,1,80,34
False,15247117,1507593600,Good Vibes,58,52,56,1,70,35
False,1895637,1384732800, indie rock,9,5,3,1,9,36
False,16626596,1456790400,Hits,69,55,7,1,72,37
False,12636678,1503446400,tb,51,42,16,1,53,38
False,12611044,1479600000,Country,34,17,14,1,58,39
False,18672695,1490659200,2020,80,71,27,6,85,40
False,49193451,1496448000,Belters,105,55,13,1,209,41
False,33759110,1490572800,Road Trippin',131,106,51,2,158,42
False,4581750,1398124800,Country,9,9,5,1,21,43
False,6837317,1430611200,taylor swift,29,21,18,3,33,44
False,18755470,1498521600,angst,69,54,5,1,76,45
False,2724593,1434412800,Running 2,11,8,2,1,11,46
False,3857335,1465084800,Spring 2016,15,14,15,1,15,47
False,7163190,1498176000,Country,20,13,12,1,32,48
False,15097154,1508544000,Gospel,37,23,22,1,45,49
False,11777971,1430352000,SB,40,31,3,1,55,50
False,12833397,1489881600,Kevin,36,25,21,1,54,51
False,2647155,1508976000,Christmas,14,10,2,5,15,52
False,25223598,1504656000,NB,93,75,8,4,105,53
False,1185919,1462665600,Smooth Jazz,5,4,4,1,5,54
False,33994572,1488844800,Tennessee ,74,27,20,3,151,55
False,5036761,1475971200,funky,18,13,12,1,19,56
False,4593106,1468022400,spring 16,16,15,12,1,19,57
False,7640168,1379030400,Gates,4,3,3,2,38,58
False,29179125,1492905600,Favorite Songs,95,57,53,3,136,59
False,16331347,1492473600,Ski,64,64,30,2,66,60
False,2891358,1478822400,Country,9,8,7,1,13,61
False,8082346,1505779200,hype,32,23,20,2,33,62
False,8507708,1503532800,Awesome Mix,36,34,2,1,38,63
False,21722739,1465862400,Elizabeth,73,61,17,1,105,64
False,27865852,1509235200,PlayStation,108,87,27,1,133,65
False,17574203,1486425600,Ashley,80,72,4,1,81,66
False,1676469,1509148800,chill,8,7,5,1,8,67
False,40691418,1508976000,xx,90,47,20,1,174,68
False,4255622,1507161600,art class,15,13,11,1,18,69
False,16959911,1394755200,Random Tunes,59,47,37,1,74,70
False,5819956,1472947200,boat,24,23,3,1,26,71
False,44051231,1471996800,spanish jams,139,83,22,1,197,72
False,7571761,1494028800,new,32,31,12,1,34,73
False,1420634,1464998400,CR,5,5,2,1,5,74
False,3386398,1463184000,Run!!,14,12,2,2,14,75
False,6964996,1494288000,winter '17,31,29,19,4,32,76
False,6482548,1425081600,Workout,15,12,10,1,24,77
False,5141065,1495152000,Traps ,15,16,4,1,16,78
False,4064642,1483401600,Dope,15,14,2,1,16,79
False,16146953,1496793600,Chill,54,30,10,1,66,80
False,16180860,1381795200,rap,38,24,11,1,64,81
False,8803027,1497830400,Gospel,16,9,8,1,25,82
False,15764803,1498348800,Florida,48,22,4,2,69,83
